43,2020-05-22 09:55:26,,"Dear @DrTedros I am unable to understand the meaning of COVID (Covid-19  pandemic) and the thought behind naming this pandemic (Covid-19).
Will you please help me?? It is only for enhancing my GK."
44,2020-05-22 09:55:19,Nepal.,"@hazardous_sam COVID-19 Pandemic: Best practices and experiences sharing among South Korea, Japan, Switzerland and Nepal""  

collaboration with NAST"
45,2020-05-22 09:54:44,"Bengaluru, India","@nimmaupendra Sir, I feel we have to face 'present' and deal with Covid-19. 
We need to discuss ways to lead lives (health-livelihood-economy) till we find vaccines.
With or without this pandemic, Indian politics should progress for betterment of nation &amp; World."
46,2020-05-22 09:54:43,"बलोतरा, भारत","Social media apps #TikTok and video calling app #Zoom have attracted the scrutiny of Indian authorities after instances of promotion of anti-women violence, fake news and security issues surfaced during the COVID-19 pandemic, exacerbating the existing troubles in the country."
47,2020-05-22 09:54:18,,"DOST-PSHS is optimistic to discover the vaccine and cure for the current pandemic-COVID-19

#DOSTREPORT #ScienceForThePeople"
48,2020-05-22 09:54:08,"Bengaluru South, India","Pained by reports of loss of life and property caused by Cyclone Amphan in West Bengal and Odisha It is a doubly precarious situation when these states as well as the rest of the country are also battling the COVID-19 pandemic we pray for fast recovery🙏
@MamataOfficial"
49,2020-05-22 09:53:40,India,"Postponed due to COVID-19 pandemic, Olympic-qualifying India Open badminton tournament to be held from December 8 to 13 in Delhi: BWF"
50,2020-05-22 09:53:33,"Islamabad, Pakistan","UAE unfortunately has never established itself as a strong country like Qatar ,Oman etc. Its a transit market that can collapse any time soon to become another Bahrain fully dependent on pubs &amp; pearls . Corona Pandemic has accelerated its downfall."
51,2020-05-22 09:53:19,"Mumbai, India",@HardeepSPuri Flights into #Mumbai at this point makes no logical sense. Covid 19 is a challenge for the state and the city. Why not first contain this pandemic before having further pressure on the State @CMOMaharashtra @AUThackeray We as citizens are being patient so should GOI
52,2020-05-22 09:53:10,"New Delhi, India","Postponed due to COVID-19 pandemic, Olympic-qualifying India Open badminton tournament to be held from December 8 to 13 in Delhi: BWF"
53,2020-05-22 09:52:20,Republic of the Philippines,"2020 is the year when, more than ever, everyone is expected to #BuildBackBetter &amp; work #StrongerTogether to increase #resilience of nations and communities as we recover from the COVID-19 pandemic, while delivering multiple co-benefits for #biodiversity &amp; #sustainabledevelopment."
54,2020-05-22 09:52:12,"England, United Kingdom","COVID-19 “The pandemic and shutdown of advanced economies could push as many as 60 million people into extreme poverty – erasing much of the recent progress made in poverty alleviation,” said World Bank Group President David Malpass."
55,2020-05-22 09:52:07,"Scotland, United Kingdom",@vauxhall  - Profiteering from vulnerable people during a global pandemic. A loyal customer lost forever more. Never again shall I or my partner but a Vauxhall car. A disgusting and unscrupulous approach to business. Shame on you! #COVID-19 #Shame #VulnerablePeople
56,2020-05-22 09:52:06,"Mumbai, India","#IndiaFightsCorona
As the country continues to fight the pandemic, Northeast has emerged as a bright spot on the map. With the pro-active steps taken by the Modi Govt, five northeastern states Arunachal Pradesh, Meghalaya, Mizoram, Nagaland, and Sikkim are COVID-19 free."
57,2020-05-22 09:51:43,"Ranchi, India","only introverts will survive this pandemic.x

#Covid_19"
58,2020-05-22 09:51:24,.,@RockcityFM The POINT those DEFENDING the Almajirins ar MISSING is that SHOULD THEY BE MOVING IN DROVES to d South WHEN d PRESIDENTIAL ORDER is that there are no inter-State movements as a result of the Covid-19 PANDEMIC? Please let's argue reasonably because of our grandchildren
59,2020-05-22 09:51:10,United States,"Why don’t @realDonaldTrump stop complaining about 36K deaths that could have been prevented, calling it a “hit job” of all things and do some undeniable ACTIONABLE RESPONSES to the COVID-19 PANDEMIC that’s transparent and stop his blame game.  Easy!!@MSNBC @CNN @abcnews @CBSNews"
60,2020-05-22 09:50:59,,The transaction is the largest capital raise by a company listed on the London Stock Exchange in the past 12 months and also the largest globally since the #Covid19 pandemic began.
61,2020-05-22 09:50:40,,@srinivas0000 @rachitaprasadET @sumanthraman @bora_times Muddy &amp; team were screwing the Indian economy much before the onset of the Corona pandemic.
62,2020-05-22 09:50:09,"Deutschland, EU ","#Russia #Moscow #Coronavirus

Russia has recorded another 150 deaths related to the corona pandemic, the highest daily increase so far."
63,2020-05-22 09:50:07,,"Speaking at the meeting of the National People's Congress (ie the National Assembly) today (May 22), Chinese Prime Minister Li Keqiang acknowledged that the country had made a number of mistakes in its application. In response to the COVID-19 pandemic, the Global Times reported."
64,2020-05-22 09:49:46,India ,@BJP4India @Dev_Fadnavis @BJP4Maharashtra Lannat h bjp Tera  .corona dekh ke aa rha h Abhi. Pandemic condition me bhi politics. Des bechane walo
65,2020-05-22 09:49:40,"Zhejiang, People's Republic of","Funding for seed-stage startups is said to have fallen 80% in the UK amid #Covid19 pandemic. While the risk aversion is understandable, also some of the best startups took off during a crisis, #Alibaba. It's how we view the world. #payments #fintech  #ecommerce #financialservices"
66,2020-05-22 09:48:53,,"#Stablecoins come under the spotlight recently as stablecoins saw a surging demand during the COVID-19 global pandemic.

What is your favourite stablecoin?

#Tether #TrueUSD #DAI #Crypto #cryptocurrency #cryptocurrencies"
67,2020-05-22 09:48:51,"London, England","2013: OUYA launches in the United States

2020: COVID-19 pandemic sweeps the world

Coincidence??"
68,2020-05-22 09:48:48,,"To help everyone through these tough times, we've been looking to the past to aid our responses to the current crisis. We've created resources on histories of epidemics but what else would you like to see our Society doing?  #COVID19 #pandemic #histSTM #histmed #twitterstorians"
69,2020-05-22 09:47:46,,@daily_trust May almighty Allah bring an end to the global pandemic (covid 19)! Everything begin most have an end;  My kaduna people I really sympathize with you.
70,2020-05-22 09:47:31,भारत,@AnupamPKher @adgpi In nowadays police is the  Frontline Soldier against COVID-19_PANDEMIC_IN_INDIA
71,2020-05-22 09:47:29,"Mumbai, India","New Zealand is considering distributing free cash directly to individuals as a way of policy stimulus to help boost the economy reeling from a COVID-19 pandemic driven contraction.@PMOIndia @RBI 
#helicoptordrop  #IndiaFightsCOVID19 #COVID19"
72,2020-05-22 09:47:29,,"@OfficialIGNOU @IGNOUHelp_in In the wake of widespread threat due to Covid19 pandemic and restrictions in travel, it is requested to promote students of 1st yr/sem to next year/sem where it is a course of two years or three years to avoid threat of infection......."
73,2020-05-22 09:46:55,,"@simonkigondu @KenyaMedics_KMA @KenyaGovernors @MOH_Kenya @CMwachonda @AlfredObengo @FaithMuigaiRN We,elsewhere equally hope it won't.  COVID-19 case management, just like any other anticipated pandemic MUST be approached from bottom to top. Evry player in the health sector MUST bring hands on deck."
74,2020-05-22 09:46:42,"Mumbai, India","@CMOMaharashtra CM Sir, Covid testing and treatment in Mumbai needs to be free. Mumbaiites will come forward to get tested. How will a person with no income afford the cost attached to covid treatment Sir? Please help during pandemic with free treatment. #COVID19 @CMOMaharashtra @PMOIndia"
